Performance_ID,Student_ID,Subject_Name,Year,Term,Score,Grade
PERF046,STD001,Physics,SS1,First Term,83,C5
PERF047,STD001,Physics,SS1,Second Term,45,E8
PERF048,STD001,Physics,SS1,Third Term,97,F9
PERF049,STD001,Physics,SS2,First Term,49,F9
PERF050,STD001,Physics,SS2,Second Term,51,E8
PERF051,STD001,Physics,SS2,Third Term,86,D7
PERF052,STD001,Physics,SS3,First Term,55,C5
PERF053,STD001,Physics,SS3,Second Term,87,D7
PERF054,STD001,Physics,SS3,Third Term,56,B2
PERF055,STD001,Technical Drawing,SS1,First Term,76,E8
PERF056,STD001,Technical Drawing,SS1,Second Term,94,C4
PERF057,STD001,Technical Drawing,SS1,Third Term,43,E8
PERF058,STD001,Technical Drawing,SS2,First Term,54,C6
PERF059,STD001,Technical Drawing,SS2,Second Term,68,D7
PERF060,STD001,Technical Drawing,SS2,Third Term,94,B2
PERF061,STD001,Technical Drawing,SS3,First Term,93,D7
PERF062,STD001,Technical Drawing,SS3,Second Term,48,D7
PERF063,STD001,Technical Drawing,SS3,Third Term,86,C6
PERF064,STD001,Economics,SS1,First Term,93,C5
PERF065,STD001,Economics,SS1,Second Term,70,C6
PERF066,STD001,Economics,SS1,Third Term,92,A1
PERF067,STD001,Economics,SS2,First Term,42,D7
PERF068,STD001,Economics,SS2,Second Term,65,B2
PERF069,STD001,Economics,SS2,Third Term,80,B3
PERF070,STD001,Economics,SS3,First Term,62,B2
PERF071,STD001,Economics,SS3,Second Term,65,C6
PERF072,STD001,Economics,SS3,Third Term,51,C4
PERF073,STD001,Bookkeeping,SS1,First Term,97,B3
PERF074,STD001,Bookkeeping,SS1,Second Term,87,A1
PERF075,STD001,Bookkeeping,SS1,Third Term,71,B3
PERF076,STD001,Bookkeeping,SS2,First Term,91,C4
PERF077,STD001,Bookkeeping,SS2,Second Term,90,E8
PERF078,STD001,Bookkeeping,SS2,Third Term,47,F9
PERF079,STD001,Bookkeeping,SS3,First Term,42,D7
PERF080,STD001,Bookkeeping,SS3,Second Term,79,B3
PERF081,STD001,Bookkeeping,SS3,Third Term,63,C6
PERF082,STD002,English Studies,SS1,First Term,61,B3
PERF083,STD002,English Studies,SS1,Second Term,89,E8
PERF084,STD002,English Studies,SS1,Third Term,47,C5
PERF085,STD002,English Studies,SS2,First Term,81,D7
PERF086,STD002,English Studies,SS2,Second Term,42,C4
PERF087,STD002,English Studies,SS2,Third Term,64,C6
PERF088,STD002,English Studies,SS3,First Term,100,B2
PERF089,STD002,English Studies,SS3,Second Term,64,B2
PERF090,STD002,English Studies,SS3,Third Term,82,F9
PERF091,STD002,Mathematics,SS1,First Term,68,C4
PERF092,STD002,Mathematics,SS1,Second Term,41,D7
PERF093,STD002,Mathematics,SS1,Third Term,63,C4
PERF094,STD002,Mathematics,SS2,First Term,80,B3
PERF095,STD002,Mathematics,SS2,Second Term,67,F9
PERF096,STD002,Mathematics,SS2,Third Term,99,D7
PERF097,STD002,Mathematics,SS3,First Term,70,D7
PERF098,STD002,Mathematics,SS3,Second Term,68,D7
PERF099,STD002,Mathematics,SS3,Third Term,70,C6
PERF100,STD002,Civic Education,SS1,First Term,64,D7
PERF101,STD002,Civic Education,SS1,Second Term,93,F9
PERF102,STD002,Civic Education,SS1,Third Term,99,D7
PERF103,STD002,Civic Education,SS2,First Term,42,C4
PERF104,STD002,Civic Education,SS2,Second Term,82,A1
PERF105,STD002,Civic Education,SS2,Third Term,41,B3
PERF106,STD002,Civic Education,SS3,First Term,94,C4
PERF107,STD002,Civic Education,SS3,Second Term,62,D7
PERF108,STD002,Civic Education,SS3,Third Term,61,D7
PERF109,STD002,Literature-in-English,SS1,First Term,55,E8
PERF110,STD002,Literature-in-English,SS1,Second Term,57,C4
PERF111,STD002,Literature-in-English,SS1,Third Term,55,B3
PERF112,STD002,Literature-in-English,SS2,First Term,50,B3
PERF113,STD002,Literature-in-English,SS2,Second Term,100,B2
PERF114,STD002,Literature-in-English,SS2,Third Term,59,B3
PERF115,STD002,Literature-in-English,SS3,First Term,48,C6
PERF116,STD002,Literature-in-English,SS3,Second Term,79,B2
PERF117,STD002,Literature-in-English,SS3,Third Term,83,B2
PERF118,STD002,History,SS1,First Term,80,B3
PERF119,STD002,History,SS1,Second Term,96,B2
PERF120,STD002,History,SS1,Third Term,45,C5
PERF121,STD002,History,SS2,First Term,65,B2
PERF122,STD002,History,SS2,Second Term,62,D7
PERF123,STD002,History,SS2,Third Term,90,B2
PERF124,STD002,History,SS3,First Term,96,D7
PERF125,STD002,History,SS3,Second Term,50,D7
PERF126,STD002,History,SS3,Third Term,53,F9
PERF127,STD002,Government,SS1,First Term,94,C4
PERF128,STD002,Government,SS1,Second Term,90,B2
PERF129,STD002,Government,SS1,Third Term,45,E8
PERF130,STD002,Government,SS2,First Term,48,B3
PERF131,STD002,Government,SS2,Second Term,85,C5
PERF132,STD002,Government,SS2,Third Term,63,A1
PERF133,STD002,Government,SS3,First Term,85,B2
PERF134,STD002,Government,SS3,Second Term,64,C5
PERF135,STD002,Government,SS3,Third Term,72,D7
PERF136,STD002,CRS/IRS,SS1,First Term,68,D7
PERF137,STD002,CRS/IRS,SS1,Second Term,51,F9
PERF138,STD002,CRS/IRS,SS1,Third Term,92,B3
PERF139,STD002,CRS/IRS,SS2,First Term,59,A1
PERF140,STD002,CRS/IRS,SS2,Second Term,66,A1
PERF141,STD002,CRS/IRS,SS2,Third Term,82,D7
PERF142,STD002,CRS/IRS,SS3,First Term,63,A1
PERF143,STD002,CRS/IRS,SS3,Second Term,90,D7
PERF144,STD002,CRS/IRS,SS3,Third Term,97,C4
PERF145,STD002,Economics,SS1,First Term,49,B3
PERF146,STD002,Economics,SS1,Second Term,56,C6
PERF147,STD002,Economics,SS1,Third Term,42,C5
PERF148,STD002,Economics,SS2,First Term,61,C4
PERF149,STD002,Economics,SS2,Second Term,56,C5
PERF150,STD002,Economics,SS2,Third Term,66,C5
PERF151,STD002,Economics,SS3,First Term,76,C5
PERF152,STD002,Economics,SS3,Second Term,71,B3
PERF153,STD002,Economics,SS3,Third Term,71,F9
PERF154,STD002,Data Processing,SS1,First Term,91,E8
PERF155,STD002,Data Processing,SS1,Second Term,55,B3
PERF156,STD002,Data Processing,SS1,Third Term,79,C6
PERF157,STD002,Data Processing,SS2,First Term,66,E8
PERF158,STD002,Data Processing,SS2,Second Term,61,B2
PERF159,STD002,Data Processing,SS2,Third Term,70,D7
PERF160,STD002,Data Processing,SS3,First Term,63,B3
PERF161,STD002,Data Processing,SS3,Second Term,40,B2
PERF162,STD002,Data Processing,SS3,Third Term,86,B2
PERF163,STD003,English Studies,SS1,First Term,78,A1
PERF164,STD003,English Studies,SS1,Second Term,75,C4
PERF165,STD003,English Studies,SS1,Third Term,55,A1
PERF166,STD003,English Studies,SS2,First Term,85,F9
PERF167,STD003,English Studies,SS2,Second Term,96,C5
PERF168,STD003,English Studies,SS2,Third Term,75,C4
PERF169,STD003,English Studies,SS3,First Term,80,E8
PERF170,STD003,English Studies,SS3,Second Term,90,B3
PERF171,STD003,English Studies,SS3,Third Term,75,F9
PERF172,STD003,Mathematics,SS1,First Term,69,A1
PERF173,STD003,Mathematics,SS1,Second Term,92,C6
PERF174,STD003,Mathematics,SS1,Third Term,54,C4
PERF175,STD003,Mathematics,SS2,First Term,68,E8
PERF176,STD003,Mathematics,SS2,Second Term,88,F9
PERF177,STD003,Mathematics,SS2,Third Term,71,F9
PERF178,STD003,Mathematics,SS3,First Term,73,C6
PERF179,STD003,Mathematics,SS3,Second Term,82,B2
PERF180,STD003,Mathematics,SS3,Third Term,85,E8
PERF181,STD003,Civic Education,SS1,First Term,55,D7
PERF182,STD003,Civic Education,SS1,Second Term,62,A1
PERF183,STD003,Civic Education,SS1,Third Term,79,C6
PERF184,STD003,Civic Education,SS2,First Term,74,F9
PERF185,STD003,Civic Education,SS2,Second Term,85,B2
PERF186,STD003,Civic Education,SS2,Third Term,84,F9
PERF187,STD003,Civic Education,SS3,First Term,85,E8
PERF188,STD003,Civic Education,SS3,Second Term,45,A1
PERF189,STD003,Civic Education,SS3,Third Term,63,E8
PERF190,STD003,History,SS1,First Term,48,F9
PERF191,STD003,History,SS1,Second Term,70,C6
PERF192,STD003,History,SS1,Third Term,81,F9
PERF193,STD003,History,SS2,First Term,75,C6
PERF194,STD003,History,SS2,Second Term,57,F9
PERF195,STD003,History,SS2,Third Term,54,E8
PERF196,STD003,History,SS3,First Term,71,F9
PERF197,STD003,History,SS3,Second Term,60,C5
PERF198,STD003,History,SS3,Third Term,70,B3
PERF199,STD003,Literature-in-English,SS1,First Term,97,B2
PERF200,STD003,Literature-in-English,SS1,Second Term,70,B2
PERF201,STD003,Literature-in-English,SS1,Third Term,71,B2
PERF202,STD003,Literature-in-English,SS2,First Term,91,F9
PERF203,STD003,Literature-in-English,SS2,Second Term,62,A1
PERF204,STD003,Literature-in-English,SS2,Third Term,70,B3
PERF205,STD003,Literature-in-English,SS3,First Term,48,E8
PERF206,STD003,Literature-in-English,SS3,Second Term,74,B2
PERF207,STD003,Literature-in-English,SS3,Third Term,58,E8
PERF208,STD003,Geography,SS1,First Term,70,B2
PERF209,STD003,Geography,SS1,Second Term,46,C6
PERF210,STD003,Geography,SS1,Third Term,78,B3
PERF211,STD003,Geography,SS2,First Term,72,C6
PERF212,STD003,Geography,SS2,Second Term,69,B3
PERF213,STD003,Geography,SS2,Third Term,93,B2
PERF214,STD003,Geography,SS3,First Term,58,B2
PERF215,STD003,Geography,SS3,Second Term,88,F9
PERF216,STD003,Geography,SS3,Third Term,67,B2
PERF217,STD003,CRS/IRS,SS1,First Term,79,C4
PERF218,STD003,CRS/IRS,SS1,Second Term,55,A1
PERF219,STD003,CRS/IRS,SS1,Third Term,92,C4
PERF220,STD003,CRS/IRS,SS2,First Term,98,A1
PERF221,STD003,CRS/IRS,SS2,Second Term,81,E8
PERF222,STD003,CRS/IRS,SS2,Third Term,81,F9
PERF223,STD003,CRS/IRS,SS3,First Term,52,C5
PERF224,STD003,CRS/IRS,SS3,Second Term,67,B2
PERF225,STD003,CRS/IRS,SS3,Third Term,94,E8
PERF226,STD003,Economics,SS1,First Term,84,E8
PERF227,STD003,Economics,SS1,Second Term,45,C4
PERF228,STD003,Economics,SS1,Third Term,70,D7
PERF229,STD003,Economics,SS2,First Term,91,C6
PERF230,STD003,Economics,SS2,Second Term,74,C5
PERF231,STD003,Economics,SS2,Third Term,67,B3
PERF232,STD003,Economics,SS3,First Term,80,E8
PERF233,STD003,Economics,SS3,Second Term,95,E8
PERF234,STD003,Economics,SS3,Third Term,73,A1
PERF235,STD003,Mechanics,SS1,First Term,54,C4
PERF236,STD003,Mechanics,SS1,Second Term,52,C6
PERF237,STD003,Mechanics,SS1,Third Term,99,F9
PERF238,STD003,Mechanics,SS2,First Term,41,B2
PERF239,STD003,Mechanics,SS2,Second Term,97,C6
PERF240,STD003,Mechanics,SS2,Third Term,44,B3
PERF241,STD003,Mechanics,SS3,First Term,86,C6
PERF242,STD003,Mechanics,SS3,Second Term,74,C6
PERF243,STD003,Mechanics,SS3,Third Term,90,D7
PERF244,STD004,English Studies,SS1,First Term,89,B3
PERF245,STD004,English Studies,SS1,Second Term,87,B2
PERF246,STD004,English Studies,SS1,Third Term,85,C6
PERF247,STD004,English Studies,SS2,First Term,75,C5
PERF248,STD004,English Studies,SS2,Second Term,68,C4
PERF249,STD004,English Studies,SS2,Third Term,74,E8
PERF250,STD004,English Studies,SS3,First Term,85,A1
PERF251,STD004,English Studies,SS3,Second Term,62,D7
PERF252,STD004,English Studies,SS3,Third Term,43,B3
PERF253,STD004,Mathematics,SS1,First Term,92,A1
PERF254,STD004,Mathematics,SS1,Second Term,75,C4
PERF255,STD004,Mathematics,SS1,Third Term,76,B3
PERF256,STD004,Mathematics,SS2,First Term,90,C5
PERF257,STD004,Mathematics,SS2,Second Term,100,C4
PERF258,STD004,Mathematics,SS2,Third Term,86,A1
PERF259,STD004,Mathematics,SS3,First Term,91,C4
PERF260,STD004,Mathematics,SS3,Second Term,50,C5
PERF261,STD004,Mathematics,SS3,Third Term,43,C5
PERF262,STD004,Civic Education,SS1,First Term,97,B2
PERF263,STD004,Civic Education,SS1,Second Term,84,A1
PERF264,STD004,Civic Education,SS1,Third Term,52,C6
PERF265,STD004,Civic Education,SS2,First Term,47,B3
PERF266,STD004,Civic Education,SS2,Second Term,95,C5
PERF267,STD004,Civic Education,SS2,Third Term,84,B2
PERF268,STD004,Civic Education,SS3,First Term,57,C4
PERF269,STD004,Civic Education,SS3,Second Term,47,A1
PERF270,STD004,Civic Education,SS3,Third Term,44,C5
PERF271,STD004,Government,SS1,First Term,96,C6
PERF272,STD004,Government,SS1,Second Term,95,C6
PERF273,STD004,Government,SS1,Third Term,59,F9
PERF274,STD004,Government,SS2,First Term,43,C6
PERF275,STD004,Government,SS2,Second Term,59,A1
PERF276,STD004,Government,SS2,Third Term,77,C4
PERF277,STD004,Government,SS3,First Term,44,D7
PERF278,STD004,Government,SS3,Second Term,96,B3
PERF279,STD004,Government,SS3,Third Term,70,A1
PERF280,STD004,Literature-in-English,SS1,First Term,56,B3
PERF281,STD004,Literature-in-English,SS1,Second Term,68,C5
PERF282,STD004,Literature-in-English,SS1,Third Term,91,F9
PERF283,STD004,Literature-in-English,SS2,First Term,75,A1
PERF284,STD004,Literature-in-English,SS2,Second Term,71,D7
PERF285,STD004,Literature-in-English,SS2,Third Term,49,C6
PERF286,STD004,Literature-in-English,SS3,First Term,53,B3
PERF287,STD004,Literature-in-English,SS3,Second Term,84,C6
PERF288,STD004,Literature-in-English,SS3,Third Term,46,B2
PERF289,STD004,Geography,SS1,First Term,48,C6
PERF290,STD004,Geography,SS1,Second Term,63,B2
PERF291,STD004,Geography,SS1,Third Term,44,D7
PERF292,STD004,Geography,SS2,First Term,85,C4
PERF293,STD004,Geography,SS2,Second Term,40,C6
PERF294,STD004,Geography,SS2,Third Term,89,F9
PERF295,STD004,Geography,SS3,First Term,86,F9
PERF296,STD004,Geography,SS3,Second Term,41,C4
PERF297,STD004,Geography,SS3,Third Term,68,C6
PERF298,STD004,French,SS1,First Term,86,A1
PERF299,STD004,French,SS1,Second Term,99,C5
PERF300,STD004,French,SS1,Third Term,48,A1
PERF301,STD004,French,SS2,First Term,71,B2
PERF302,STD004,French,SS2,Second Term,46,C6
PERF303,STD004,French,SS2,Third Term,44,B2
PERF304,STD004,French,SS3,First Term,84,C4
PERF305,STD004,French,SS3,Second Term,49,E8
PERF306,STD004,French,SS3,Third Term,68,C5
PERF307,STD004,History,SS1,First Term,51,C5
PERF308,STD004,History,SS1,Second Term,90,D7
PERF309,STD004,History,SS1,Third Term,88,C6
PERF310,STD004,History,SS2,First Term,67,D7
PERF311,STD004,History,SS2,Second Term,71,C5
PERF312,STD004,History,SS2,Third Term,68,C4
PERF313,STD004,History,SS3,First Term,98,B3
PERF314,STD004,History,SS3,Second Term,48,B3
PERF315,STD004,History,SS3,Third Term,73,C5
PERF316,STD004,Bookkeeping,SS1,First Term,57,D7
PERF317,STD004,Bookkeeping,SS1,Second Term,100,A1
PERF318,STD004,Bookkeeping,SS1,Third Term,93,E8
PERF319,STD004,Bookkeeping,SS2,First Term,61,C4
PERF320,STD004,Bookkeeping,SS2,Second Term,55,C6
PERF321,STD004,Bookkeeping,SS2,Third Term,41,C4
PERF322,STD004,Bookkeeping,SS3,First Term,100,D7
PERF323,STD004,Bookkeeping,SS3,Second Term,65,C5
PERF324,STD004,Bookkeeping,SS3,Third Term,76,A1
PERF325,STD005,English Studies,SS1,First Term,74,B2
PERF326,STD005,English Studies,SS1,Second Term,69,C4
PERF327,STD005,English Studies,SS1,Third Term,79,C5
PERF328,STD005,English Studies,SS2,First Term,78,B2
PERF329,STD005,English Studies,SS2,Second Term,97,B3
PERF330,STD005,English Studies,SS2,Third Term,46,A1
PERF331,STD005,English Studies,SS3,First Term,48,A1
PERF332,STD005,English Studies,SS3,Second Term,87,C6
PERF333,STD005,English Studies,SS3,Third Term,88,D7
PERF334,STD005,Mathematics,SS1,First Term,74,C6
PERF335,STD005,Mathematics,SS1,Second Term,59,C6
PERF336,STD005,Mathematics,SS1,Third Term,41,C4
PERF337,STD005,Mathematics,SS2,First Term,42,C5
PERF338,STD005,Mathematics,SS2,Second Term,83,B3
PERF339,STD005,Mathematics,SS2,Third Term,91,C4
PERF340,STD005,Mathematics,SS3,First Term,85,F9
PERF341,STD005,Mathematics,SS3,Second Term,74,E8
PERF342,STD005,Mathematics,SS3,Third Term,99,C4
PERF343,STD005,Civic Education,SS1,First Term,69,B2
PERF344,STD005,Civic Education,SS1,Second Term,99,C6
PERF345,STD005,Civic Education,SS1,Third Term,92,F9
PERF346,STD005,Civic Education,SS2,First Term,40,E8
PERF347,STD005,Civic Education,SS2,Second Term,95,C6
PERF348,STD005,Civic Education,SS2,Third Term,67,C5
PERF349,STD005,Civic Education,SS3,First Term,59,B2
PERF350,STD005,Civic Education,SS3,Second Term,74,B2
PERF351,STD005,Civic Education,SS3,Third Term,53,B2
PERF352,STD005,Government,SS1,First Term,57,F9
PERF353,STD005,Government,SS1,Second Term,98,B3
PERF354,STD005,Government,SS1,Third Term,62,B3
PERF355,STD005,Government,SS2,First Term,70,C5
PERF356,STD005,Government,SS2,Second Term,90,C6
PERF357,STD005,Government,SS2,Third Term,78,C4
PERF358,STD005,Government,SS3,First Term,89,E8
PERF359,STD005,Government,SS3,Second Term,63,B2
PERF360,STD005,Government,SS3,Third Term,54,B3
PERF361,STD005,History,SS1,First Term,81,C6
PERF362,STD005,History,SS1,Second Term,93,B3
PERF363,STD005,History,SS1,Third Term,56,F9
PERF364,STD005,History,SS2,First Term,98,A1
PERF365,STD005,History,SS2,Second Term,79,E8
PERF366,STD005,History,SS2,Third Term,72,C5
PERF367,STD005,History,SS3,First Term,58,B3
PERF368,STD005,History,SS3,Second Term,77,B2
PERF369,STD005,History,SS3,Third Term,52,E8
PERF370,STD005,French,SS1,First Term,66,B2
PERF371,STD005,French,SS1,Second Term,71,C4
PERF372,STD005,French,SS1,Third Term,77,B3
PERF373,STD005,French,SS2,First Term,95,E8
PERF374,STD005,French,SS2,Second Term,67,F9
PERF375,STD005,French,SS2,Third Term,93,F9
PERF376,STD005,French,SS3,First Term,94,C4
PERF377,STD005,French,SS3,Second Term,83,E8
PERF378,STD005,French,SS3,Third Term,66,B2
PERF379,STD005,CRS/IRS,SS1,First Term,76,B2
PERF380,STD005,CRS/IRS,SS1,Second Term,80,F9
PERF381,STD005,CRS/IRS,SS1,Third Term,71,C4
PERF382,STD005,CRS/IRS,SS2,First Term,47,F9
PERF383,STD005,CRS/IRS,SS2,Second Term,79,D7
PERF384,STD005,CRS/IRS,SS2,Third Term,50,B2
PERF385,STD005,CRS/IRS,SS3,First Term,69,F9
PERF386,STD005,CRS/IRS,SS3,Second Term,99,B2
PERF387,STD005,CRS/IRS,SS3,Third Term,70,A1
PERF388,STD005,Mechanics,SS1,First Term,81,F9
PERF389,STD005,Mechanics,SS1,Second Term,42,F9
PERF390,STD005,Mechanics,SS1,Third Term,44,C4
PERF391,STD005,Mechanics,SS2,First Term,83,E8
PERF392,STD005,Mechanics,SS2,Second Term,73,D7
PERF393,STD005,Mechanics,SS2,Third Term,93,C4
PERF394,STD005,Mechanics,SS3,First Term,67,E8
PERF395,STD005,Mechanics,SS3,Second Term,80,B2
PERF396,STD005,Mechanics,SS3,Third Term,97,A1
PERF397,STD006,English Studies,SS1,First Term,79,E8
PERF398,STD006,English Studies,SS1,Second Term,78,C5
PERF399,STD006,English Studies,SS1,Third Term,61,B3
PERF400,STD006,English Studies,SS2,First Term,88,E8
PERF401,STD006,English Studies,SS2,Second Term,54,B2
PERF402,STD006,English Studies,SS2,Third Term,83,A1
PERF403,STD006,English Studies,SS3,First Term,82,B2
PERF404,STD006,English Studies,SS3,Second Term,86,B2
PERF405,STD006,English Studies,SS3,Third Term,94,B2
PERF406,STD006,Mathematics,SS1,First Term,83,B3
PERF407,STD006,Mathematics,SS1,Second Term,47,F9
PERF408,STD006,Mathematics,SS1,Third Term,100,E8
PERF409,STD006,Mathematics,SS2,First Term,71,F9
PERF410,STD006,Mathematics,SS2,Second Term,55,B2
PERF411,STD006,Mathematics,SS2,Third Term,95,A1
PERF412,STD006,Mathematics,SS3,First Term,95,E8
PERF413,STD006,Mathematics,SS3,Second Term,80,C6
PERF414,STD006,Mathematics,SS3,Third Term,90,C4
PERF415,STD006,Civic Education,SS1,First Term,92,B2
PERF416,STD006,Civic Education,SS1,Second Term,95,C6
PERF417,STD006,Civic Education,SS1,Third Term,96,C5
PERF418,STD006,Civic Education,SS2,First Term,90,B3
PERF419,STD006,Civic Education,SS2,Second Term,83,F9
PERF420,STD006,Civic Education,SS2,Third Term,56,B3
PERF421,STD006,Civic Education,SS3,First Term,73,C5
PERF422,STD006,Civic Education,SS3,Second Term,82,C4
PERF423,STD006,Civic Education,SS3,Third Term,84,B3
PERF424,STD006,Accounting,SS1,First Term,42,B3
PERF425,STD006,Accounting,SS1,Second Term,65,F9
PERF426,STD006,Accounting,SS1,Third Term,83,C6
PERF427,STD006,Accounting,SS2,First Term,92,C5
PERF428,STD006,Accounting,SS2,Second Term,42,E8
PERF429,STD006,Accounting,SS2,Third Term,67,B3
PERF430,STD006,Accounting,SS3,First Term,57,C4
PERF431,STD006,Accounting,SS3,Second Term,42,C4
PERF432,STD006,Accounting,SS3,Third Term,62,B2
PERF433,STD006,Economics,SS1,First Term,94,B2
PERF434,STD006,Economics,SS1,Second Term,94,C6
PERF435,STD006,Economics,SS1,Third Term,85,C6
PERF436,STD006,Economics,SS2,First Term,70,C4
PERF437,STD006,Economics,SS2,Second Term,80,E8
PERF438,STD006,Economics,SS2,Third Term,97,C5
PERF439,STD006,Economics,SS3,First Term,77,D7
PERF440,STD006,Economics,SS3,Second Term,41,A1
PERF441,STD006,Economics,SS3,Third Term,93,C6
PERF442,STD006,Geography,SS1,First Term,96,C5
PERF443,STD006,Geography,SS1,Second Term,61,C5
PERF444,STD006,Geography,SS1,Third Term,77,B3
PERF445,STD006,Geography,SS2,First Term,80,B2
PERF446,STD006,Geography,SS2,Second Term,58,C4
PERF447,STD006,Geography,SS2,Third Term,78,A1
PERF448,STD006,Geography,SS3,First Term,41,C6
PERF449,STD006,Geography,SS3,Second Term,96,D7
PERF450,STD006,Geography,SS3,Third Term,99,C5
PERF451,STD006,Agricultural Science,SS1,First Term,55,E8
PERF452,STD006,Agricultural Science,SS1,Second Term,82,C4
PERF453,STD006,Agricultural Science,SS1,Third Term,55,C5
PERF454,STD006,Agricultural Science,SS2,First Term,89,D7
PERF455,STD006,Agricultural Science,SS2,Second Term,74,C5
PERF456,STD006,Agricultural Science,SS2,Third Term,94,A1
PERF457,STD006,Agricultural Science,SS3,First Term,48,A1
PERF458,STD006,Agricultural Science,SS3,Second Term,88,C6
PERF459,STD006,Agricultural Science,SS3,Third Term,54,F9
PERF460,STD006,Government,SS1,First Term,89,B3
PERF461,STD006,Government,SS1,Second Term,45,F9
PERF462,STD006,Government,SS1,Third Term,60,A1
PERF463,STD006,Government,SS2,First Term,66,E8
PERF464,STD006,Government,SS2,Second Term,41,B2
PERF465,STD006,Government,SS2,Third Term,48,C4
PERF466,STD006,Government,SS3,First Term,75,B2
PERF467,STD006,Government,SS3,Second Term,63,E8
PERF468,STD006,Government,SS3,Third Term,77,E8
PERF469,STD006,Marketing,SS1,First Term,80,C4
PERF470,STD006,Marketing,SS1,Second Term,62,C5
PERF471,STD006,Marketing,SS1,Third Term,43,A1
PERF472,STD006,Marketing,SS2,First Term,44,D7
PERF473,STD006,Marketing,SS2,Second Term,56,C4
PERF474,STD006,Marketing,SS2,Third Term,92,B3
PERF475,STD006,Marketing,SS3,First Term,82,F9
PERF476,STD006,Marketing,SS3,Second Term,94,B2
PERF477,STD006,Marketing,SS3,Third Term,55,B3
PERF478,STD007,English Studies,SS1,First Term,61,B2
PERF479,STD007,English Studies,SS1,Second Term,61,A1
PERF480,STD007,English Studies,SS1,Third Term,78,C6
PERF481,STD007,English Studies,SS2,First Term,55,C4
PERF482,STD007,English Studies,SS2,Second Term,96,B3
PERF483,STD007,English Studies,SS2,Third Term,79,C5
PERF484,STD007,English Studies,SS3,First Term,78,E8
PERF485,STD007,English Studies,SS3,Second Term,75,C4
PERF486,STD007,English Studies,SS3,Third Term,84,E8
PERF487,STD007,Mathematics,SS1,First Term,42,B2
PERF488,STD007,Mathematics,SS1,Second Term,81,F9
PERF489,STD007,Mathematics,SS1,Third Term,46,C4
PERF490,STD007,Mathematics,SS2,First Term,93,F9
PERF491,STD007,Mathematics,SS2,Second Term,52,C6
PERF492,STD007,Mathematics,SS2,Third Term,100,C6
PERF493,STD007,Mathematics,SS3,First Term,44,C6
PERF494,STD007,Mathematics,SS3,Second Term,50,B2
PERF495,STD007,Mathematics,SS3,Third Term,50,E8
PERF496,STD007,Civic Education,SS1,First Term,99,F9
PERF497,STD007,Civic Education,SS1,Second Term,45,C6
PERF498,STD007,Civic Education,SS1,Third Term,58,C5
